"","cell_1","cell_2","cell_3","cell_4","cell_5","cell_6","cell_7","cell_8","cell_9","cell_10","cell_11","cell_12","cell_13","cell_14","cell_15","cell_16","cell_17","cell_18","cell_19","cell_20"
"RPP14",48.0157,0.587183,0.979527,0.783285,8.93227,1.39942,1.442385,2.42201,0.2036845,1.11191,5.93523,0.5036055,0.244968,4.99215,1.970835,1.487525,5.084455,0.5116775,0.5545375,0.922305
"RPP21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPP25",0,0,1.1113,0,0,0,0,0,0,0,0,0,0,0,15.8498,0,0,0.405584,0,0
"RPP25L",0.482213,0,0,0,0,0,0,0,0,0,12.8848,0,0,0,0,0,0,0,0,0.3183495
"RPP30",1.03045,0.732412,10.9389,0.554185,1.601285,7.37223,1.4221435,3.335565,0.483068,1.77582,7.731045,0.6081605,0.57187,0.5134545,2.154815,0.718254,4.80735,0.708594,0.4042755,1.124688
"RPP38",0.855162,0.238876,0,0.144459,0.094624,0.224386,19.46305,1.80115,0.0503225,4.28758,1.14745,0.639407,0.548575,0.3129815,3.766905,3.111555,1.689785,0,0.288366,1.5939
"RPP40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPPH1",0,0,12.4366,0,63.896,0,0,0,12.040685,0,0.536955,0,0,14.94025,127.393,0,0,0,0,2.166525
"RPRD1A",1.86197,0,0,0,0,0,0,0.3847845,0.020843,0.00993075,0,0,18.9315,70.0556,0.8021315,0,0.608432,8.64602,0.0074849,0.026095
"RPRD1B",0,0,0,0,0.852114,0,1.947205,0,0.02181915,0,0.304866,0,0,0,0,0.050239,0.0152933,0,0.9577325,0.0259494
"RPRD2",0,0,6.56235,0.0062553,0.09782505,0.149273,0.004156435,1.56909,20.60915,0.01123245,0.01074715,0.004633385,0.0113839,1.1439915,3.21993,4.008725,0.688928,0.02162095,0.0110306,0.0062129
"RPRM",1.88723,0,0,0,0,0,0,0,3.45469,0,0,9.95832,0,12.2626,0,0,0,186.132,4.791255,3.03498
"RPRML",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPS10",794.673,0,11.5463,14.83345,117.5585,361.54,99.2395,175.8955,626.3585,0,67.4252,382.559,143.277,829.967,144.606,618.691,3.09363,2.448115e-141,143.3395,0.132528
"RPS10-NUDT3",24.2315,0,6.1883,2.204175,5.74048,1.23774,28.15305,18.61535,91.0335,6.072995e-05,8.609955,67.6024,30.2219,34.2579,4.191875,148.153,0.0276041,0.19736428365,0,1.69938046225
"RPS11",397.698,0.978333,396.665,277.481,109.3055,133.703,335.625,200.1125,477.232,14.95815,91.16425,1528.71,81.9146,1.0139605,14.4969,2100.825,32.4478,19.4244,1382.055,58.49595
"RPS12",761.04,126.924,333.681,139.682,70.2999,419.023,63.23205,5.2128,401.828,0,70.75265,0,52.2193,0.2350865,28.90975,12.65735,12.038865,0.812935,66.02855,5.61976
"RPS13",0.561965,12.5282,31.7493,54.6767,61.5486,307.902,63.10865,41.5175,70.0502,0,29.1217,282.087,5.11879,325.163,44.9785,1220.55,21.74955,0.2986085,306.327,1.03905
"RPS14",828.083,504.836,769.574,2.0445,334.395,9.01863,566.95,111.3405,615.695,416.8735,231.2135,2090.29,801.324,776.6775,259.7275,375.8505,135.034,169.0695,22.8629,3.580245
"RPS15",31.5318,97.5984,809.299,69.77855,458.9445,5.53516,163.2295,26.7464,242.205,35.63085,48.85665,636.5535,155.227,684.1185,65.1707,521.715,25.4504,493.7355,984.2875,1.630705
"RPS15A",140.557,75.7038,159.785,0.5533,62.96055,0,51.5211,219.658,0,14.4618,3.01811,0.1814645,3.47255,772.6625,10.416935,1.320185,35.09525,893.5335,203.261,1.7779355
"RPS15AP10",5.08198,1.27245,0.396612,1.232631,6.152765,6.33384,2.952025,11.04745,3.992995,3.80245,26.0493,4.041495,1.34208,1.749665,4.778795,4.60438,13.9112,5.84422,1.870045,1.933325
"RPS16",172.978,9.38351,45.5234,26.72355,122.7965,20.4889,53.6017,91.8645,81.42615,182.7795,8.83108,830.0935,417.942,0,183.1765,164.738,35.2827,0.4363845,116.523,2.3266225
"RPS16P5",0,0,0.0444301,0,0.02135475,0,0.0309795,0.020253,0,0.0151639,0.0141066,0.02359675,0,0,0,0,0,0,0,0.0169713
"RPS17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPS18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPS18P9",0.194315,0.517512,0.312328,0.1531815,0.5691465,0,0.494137,0.0547665,0.262643,0.3611735,0.6019205,0.624435,31.105,0.4251535,0.690106,2.95689,1.6137,0.8221815,0.339936,0
"RPS19",1303.11,289.945,576.065,78.0425,345.8095,825.674,588.2335,69.2447,751.862,561.4075,130.9325,1497.415,207.627,4.9352,92.1807,1415.95,173.3215,35.2871,76.73165,371.8215
